Ticker,Category,CompanyName,Exchange
A,Medical Laboratories & Research,"Agilent Technologies, Inc.",NYQ
AA,Aluminum,Alcoa Corporation,NYQ
AAC,Specialized Health Services,"AAC Holdings, Inc.",NYQ
AAL,Major Airlines,American Airlines Group Inc.,NMS
AAMC,Asset Management,Altisource Asset Management Corporation,ASE
AAME,Life Insurance,Atlantic American Corporation,NGM
AAN,Rental & Leasing Services,"Aaron's, Inc.",NYQ
AAOI,Semiconductor - Integrated Circuits,"Applied Optoelectronics, Inc.",NGM
AAON,General Building Materials,"AAON, Inc.",NMS
AAP,Auto Parts Stores,"Advance Auto Parts, Inc.",NYQ
AAPC,Conglomerates,Atlantic Alliance Partnership Corp.,NCM
AAPL,Electronic Equipment,Apple Inc.,NMS
AASP,Sporting Activities,"All-American Sportpark, Inc.",PNK
AAST,Steel & Iron,Allied American Steel Corp.,PNK
AAT,REIT - Retail,"American Assets Trust, Inc.",NYQ
AAU,Gold,Almaden Minerals Ltd.,ASE
AAV,Oil & Gas Drilling & Exploration,Advantage Oil & Gas Ltd.,NYQ
AAWW,"Air Services, Other","Atlas Air Worldwide Holdings, Inc.",NMS
AB,Asset Management,AllianceBernstein Holding L.P.,NYQ
ABAX,Medical Laboratories & Research,"Abaxis, Inc.",NMS
ABB,Diversified Machinery,ABB Ltd,NYQ
ABBB,Savings & Loans,"Auburn Bancorp, Inc.",PNK
ABBV,Drug Manufacturers - Major,AbbVie Inc.,NYQ
ABC,Drugs Wholesale,AmerisourceBergen Corporation,NYQ
ABCB,Regional - Mid-Atlantic Banks,Ameris Bancorp,NMS
ABCD,Education & Training Services,"Cambium Learning Group, Inc.",NCM
ABCE,Semiconductor - Specialized,"ABCO Energy, Inc.",PNK
ABCO,Business Services,The Advisory Board Company,NMS
ABCP,Property Management,AmBase Corporation,PNK
ABG,Auto Dealerships,"Asbury Automotive Group, Inc.",NYQ
ABHD,Pollution & Treatment Controls,"Abtech Holdings, Inc.",PNK
ABIO,Biotechnology,"ARCA biopharma, Inc.",NCM
ABKI,Industrial Equipment & Components,Abakan Inc.,PNK
ABM,Business Services,ABM Industries Incorporated,NYQ
ABMD,Medical Appliances & Equipment,"ABIOMED, Inc.",NMS
ABNK,Regional - Pacific Banks,AltaPacific Bancorp,PNK
ABR,REIT - Diversified,"Arbor Realty Trust, Inc.",NYQ
ABT,Medical Appliances & Equipment,Abbott Laboratories,NYQ
ABTL,Internet Information Providers,Autobytel Inc.,NCM
ABTO,Regional - Mid-Atlantic Banks,AB&T Financial Corp.,PNK
ABUS,Biotechnology,Arbutus Biopharma Corporation,NMS
ABX,Gold,Barrick Gold Corporation,NYQ
ABY,Electric Utilities,Atlantica Yield plc,NMS
ACAD,Biotechnology,ACADIA Pharmaceuticals Inc.,NMS
ACAN,Internet Service Providers,"AmeriCann, Inc.",PNK
ACAR,Medical Appliances & Equipment,"ActiveCare, Inc.",PNK
ACBC,Regional - Pacific Banks,Albina Community Bancorp,PNK
ACC,REIT - Residential,"American Campus Communities, Inc.",NYQ
ACCO,Office Supplies,ACCO Brands Corporation,NYQ
ACET,Chemicals - Major Diversified,Aceto Corporation,NMS
ACFC,Regional - Southeast Banks,Atlantic Coast Financial Corporation,NGM
ACFN,Aerospace/Defense Products & Services,"Acorn Energy, Inc.",PNK
ACGL,Property & Casualty Insurance,Arch Capital Group Ltd.,NMS
ACH,Aluminum,Aluminum Corporation Of China Limited,NYQ
ACHC,Specialized Health Services,"Acadia Healthcare Company, Inc.",NMS
ACHN,Biotechnology,"Achillion Pharmaceuticals, Inc.",NMS
ACIW,Technical & System Software,"ACI Worldwide, Inc.",NMS
ACLS,Semiconductor Equipment & Materials,"Axcelis Technologies, Inc.",NMS
ACLZ,Internet Information Providers,Accelerize Inc.,OBB
ACM,Technical Services,AECOM,NYQ
ACN,Information Technology Services,Accenture plc,NYQ
ACNB,Regional - Southwest Banks,ACNB Corporation,NCM
ACOR,Biotechnology,"Acorda Therapeutics, Inc.",NMS
ACRB,Specialty Chemicals,"Asia Carbon Industries, Inc.",PNK
ACRE,REIT - Diversified,Ares Commercial Real Estate Corporation,NYQ
ACRX,Medical Appliances & Equipment,"AcelRx Pharmaceuticals, Inc.",NGM
ACST,Biotechnology,Acasti Pharma Inc.,NCM
ACTA,Application Software,Actua Corporation,NMS
ACTG,Business Services,Acacia Research Corporation,NMS
ACTL,Marketing Services,"Artec Global Media, Inc.",PNK
ACU,Housewares & Accessories,Acme United Corporation,ASE
ACUR,Drug Delivery,"Acura Pharmaceuticals, Inc.",PNK
ACUS,Drug Manufacturers - Other,"Acusphere, Inc.",PNK
ACXM,Information Technology Services,Acxiom Corporation,NMS
ACY,Rental & Leasing Services,AeroCentury Corp.,ASE
ADAP,Biotechnology,Adaptimmune Therapeutics plc,NMS
ADAT,Healthcare Information Services,Authentidate Holding Corp.,PNK
ADBE,Application Software,Adobe Systems Incorporated,NMS
ADC,Property Management,Agree Realty Corporation,NYQ
ADES,Pollution & Treatment Controls,"Advanced Emissions Solutions, Inc.",NGM
ADGL,Broadcasting - TV,"AllDigital Holdings, Inc",PNK
ADHD,Biotechnology,Alcobra Ltd.,NGM
ADI,Semiconductor - Integrated Circuits,"Analog Devices, Inc.",NMS
ADK,Long-Term Care Facilities,"AdCare Health Systems, Inc.",ASE
ADLS,Biotechnology,"Advanced Life Sciences Holdings, Inc.",PNK
ADM,Farm Products,Archer-Daniels-Midland Company,NYQ
ADMA,Biotechnology,"ADMA Biologics, Inc.",NCM
ADMP,Drug Delivery,Adamis Pharmaceuticals Corporation,NCM
ADMS,Drugs - Generic,"Adamas Pharmaceuticals, Inc.",NGM
ADMT,Specialty Chemicals,"ADM Tronics Unlimited, Inc.",PNK
ADP,Business Software & Services,"Automatic Data Processing, Inc.",NMS
ADRO,Biotechnology,"Aduro BioTech, Inc.",NMS
ADS,Business Services,Alliance Data Systems Corporation,NYQ
ADSK,Technical & System Software,"Autodesk, Inc.",NMS
ADTN,Communication Equipment,"ADTRAN, Inc.",NMS
ADUS,Home Health Care,Addus HomeCare Corporation,NMS
ADVC,Application Software,Advant-E Corp.,PNK
ADX,Closed-End Fund - Equity,"Adams Diversified Equity Fund, Inc.",NYQ
ADXS,Biotechnology,"Advaxis, Inc.",NMS
AE,Oil & Gas Refining & Marketing,"Adams Resources & Energy, Inc.",ASE
AEE,Electric Utilities,Ameren Corporation,NYQ
AEGG,Oil & Gas Drilling & Exploration,"The American Energy Group, Ltd.",PNK
AEGN,Heavy Construction,Aegion Corporation,NMS
AEHR,Semiconductor Equipment & Materials,Aehr Test Systems,NCM
AEIS,Diversified Electronics,"Advanced Energy Industries, Inc.",NMS
AEL,Life Insurance,American Equity Investment Life Holding Company,NYQ
AEM,Gold,Agnico Eagle Mines Limited,NYQ
AEMD,Medical Appliances & Equipment,"Aethlon Medical, Inc.",NCM
AEO,Apparel Stores,"American Eagle Outfitters, Inc.",NYQ
AEP,Electric Utilities,"American Electric Power Company, Inc.",NYQ
AER,"Air Services, Other",AerCap Holdings N.V.,NYQ
AERG,Scientific & Technical Instruments,"Applied Energetics, Inc.",PNK
AERI,Drug Manufacturers - Major,"Aerie Pharmaceuticals, Inc.",NGM
AERO,Small Tools & Accessories,"Aerogrow International, Inc.",PNK
AES,Electric Utilities,The AES Corporation,NYQ
AET,Health Care Plans,Aetna Inc.,NYQ
AETI,Industrial Electrical Equipment,"American Electric Technologies, Inc",NCM
AEXE,Conglomerates,Aim Exploration Inc.,PNK
AEY,Electronics Wholesale,"ADDvantage Technologies Group, Inc.",NGM
AEYE,Networking & Communication Devices,"AudioEye, Inc.",PNK
AEZS,Biotechnology,Aeterna Zentaris Inc.,NCM
AF,Savings & Loans,Astoria Financial Corporation,NYQ
AFAM,Home Health Care,"Almost Family, Inc.",NMS
AFAN,Conglomerates,AF Ocean Investment Management Company,PNK
AFBA,Savings & Loans,Allied First Bancorp Inc.,PNK
AFBG,Home Furnishings & Fixtures,"American Fiber Green Products, Inc.",PNK
AFCB,Regional - Southeast Banks,Athens Bancshares Corporation,PNK
AFFY,Biotechnology,"Affymax, Inc.",PNK
AFG,Property & Casualty Insurance,"American Financial Group, Inc.",NYQ
AFH,Property & Casualty Insurance,"Atlas Financial Holdings, Inc.",NGM
AFL,Accident & Health Insurance,Aflac Incorporated,NYQ
AFMD,Biotechnology,Affimed N.V.,NGM
AFRS,Mortgage Investment,"American First Financial, Inc.",PNK
AFSI,Property & Casualty Insurance,"AmTrust Financial Services, Inc.",NMS
AG,Silver,First Majestic Silver Corp.,NYQ
AGCO,Farm & Construction Machinery,AGCO Corporation,NYQ
AGEN,Biotechnology,Agenus Inc.,NCM
AGFS,Conglomerates,"AgroFresh Solutions, Inc.",NMS
AGI,Gold,Alamos Gold Inc.,NYQ
AGII,Property & Casualty Insurance,"Argo Group International Holdings, Ltd.",NMS
AGIN,Industrial Metals & Minerals,"American Graphite Technologies, Inc.",PNK
AGIO,Biotechnology,"Agios Pharmaceuticals, Inc.",NMS
AGM,Credit Services,Federal Agricultural Mortgage Corporation,NYQ
AGN,Drugs - Generic,Allergan plc,NYQ
AGNC,REIT - Residential,AGNC Investment Corp.,NMS
AGO,Surety & Title Insurance,Assured Guaranty Ltd.,NYQ
AGRO,Farm Products,Adecoagro S.A.,NYQ
AGRX,Drugs - Generic,"Agile Therapeutics, Inc.",NGM
AGU,Agricultural Chemicals,Agrium Inc.,NYQ
AGX,Heavy Construction,"Argan, Inc.",NYQ
AGYS,Application Software,"Agilysys, Inc.",NMS
AHC,Publishing - Newspapers,A.H. Belo Corporation,NYQ
AHFP,Food - Major Diversified,"Artisanal Brands, Inc.",PNK
AHGP,Nonmetallic Mineral Mining,"Alliance Holdings GP, L.P.",NMS
AHH,REIT - Diversified,"Armada Hoffler Properties, Inc.",NYQ
AHII,Cigarettes,American Heritage International Inc.,PNK
AHL,Property & Casualty Insurance,Aspen Insurance Holdings Limited,NYQ
AHP,REIT - Hotel/Motel,"Ashford Hospitality Prime, Inc.",NYQ
AHPI,Medical Appliances & Equipment,"Allied Healthcare Products, Inc.",NCM
AHT,REIT - Hotel/Motel,"Ashford Hospitality Trust, Inc.",NYQ
AI,Mortgage Investment,Arlington Asset Investment Corp.,NYQ
AIG,Property & Casualty Insurance,"American International Group, Inc.",NYQ
AIMC,Industrial Electrical Equipment,Altra Industrial Motion Corp.,NMS
AIMT,Biotechnology,"Aimmune Therapeutics, Inc.",NMS
AIN,Textile Industrial,Albany International Corp.,NYQ
AIR,Aerospace/Defense Products & Services,AAR Corp.,NYQ
AIRI,Aerospace/Defense Products & Services,Air Industries Group,ASE
AIRT,Air Delivery & Freight Services,"Air T, Inc.",NCM
AIRW,Medical Appliances & Equipment,Airware Labs Corp.,PNK
AIT,Industrial Equipment Wholesale,"Applied Industrial Technologies, Inc.",NYQ
AIV,REIT - Residential,Apartment Investment and Management Company,NYQ
AIVN,Gold,"American International Ventures, Inc.",PNK
AIZ,Accident & Health Insurance,"Assurant, Inc.",NYQ
AJAC,Biotechnology,"Aja Cannafacturing, Inc.",PNK
AJG,Insurance Brokers,Arthur J. Gallagher & Co.,NYQ
AJRD,Aerospace/Defense - Major Diversified,"Aerojet Rocketdyne Holdings, Inc.",NYQ
AJX,REIT - Diversified,Great Ajax Corp,NYQ
AKAM,Internet Information Providers,"Akamai Technologies, Inc.",NMS
AKAO,Biotechnology,"Achaogen, Inc.",NGM
AKBA,Biotechnology,"Akebia Therapeutics, Inc.",NGM
AKDS,Semiconductor - Specialized,"Arkados Group, Inc.",PNK
AKG,Gold,Asanko Gold Inc.,ASE
AKO-A,Beverages - Soft Drinks,Embotelladora Andina S.A.,NYQ
AKO-B,Beverages - Soft Drinks,Embotelladora Andina S.A.,NYQ
AKR,Property Management,Acadia Realty Trust,NYQ
AKRX,Drugs - Generic,"Akorn, Inc.",NMS
AKS,Steel & Iron,AK Steel Holding Corporation,NYQ
AKTS,Communication Equipment,"Akoustis Technologies, Inc.",NCM
AKTX,Drugs - Generic,"Akari Therapeutics, Plc",NCM
AKVA,Oil & Gas Drilling & Exploration,Arkanova Energy Corporation,PNK
AL,Rental & Leasing Services,Air Lease Corporation,NYQ
